engine_size,car_weight,km_per_liter
2.12,1927,15.62
3.85,1035,14.2
3.2,1159,15.47
2.8,2338,12.24
1.47,1870,16.62
1.47,915,19.25
1.17,1062,19.51
3.6,1962,12.22
2.8,908,16.26
3.12,1157,16.33
1.06,1778,17.04
3.91,2007,10.55
3.5,1943,12.75
1.64,1259,18.35
1.55,2039,16.1
1.55,1280,18.37
1.91,1421,16.91
2.57,2094,13.12
2.3,1939,14.63
1.87,2259,14.14
2.84,1952,13.96
1.42,1809,16.66
1.88,1050,17.68
2.1,1488,16.18
2.37,1324,16.5
3.36,1290,14.14
1.6,2457,14.02
2.54,1529,15.45
2.78,2327,12.59
1.14,1910,16.74
2.82,2172,12.6
1.51,1704,16.98
1.2,1823,16.42
3.85,1688,11.54
3.9,1212,13.21
3.43,2056,11.88
1.91,1349,17.28
1.29,939,20.33
3.05,1933,13.53
2.32,1183,16.73
1.37,2405,15.04
2.49,2426,12.25
1.1,2364,15.69
3.73,1492,12.92
1.78,925,18.83
2.99,2385,11.46
1.94,1585,16.63
2.56,2447,13.31
2.64,2442,12.34
1.55,2265,15.3
3.91,1371,13.41
3.33,1516,13.6
3.82,2262,10.69
3.68,1407,13.42
2.79,1171,15.95
3.77,1791,11.71
1.27,2398,15.29
1.59,2014,16.03
1.14,1812,18.02
1.98,1055,18.36
2.17,1884,16.09
1.81,2484,13.54
3.49,1124,15.09
2.07,1729,15.76
1.84,2304,15.5
2.63,2085,13.08
1.42,2015,15.69
3.41,2024,11.82
1.22,1475,17.07
3.96,1370,12.71
3.32,2195,11.4
1.6,2196,15.29
1.02,2287,16.28
3.45,2361,11.96
3.12,1718,14.08
3.19,1702,13.23
3.31,2177,11.39
1.22,1940,16.98
2.08,2023,14.12
1.35,2173,16.7
3.59,2324,11.44
2.87,1441,14.7
1.99,1501,15.66
1.19,1050,20.14
1.93,1825,15.6
1.98,958,18.8
3.19,1645,12.89
2.91,1768,13.57
3.66,1358,13.6
2.42,1845,14.65
1.36,949,19.21
3.14,960,16.15
3.28,2216,11.25
2.68,1476,15.13
3.31,1103,15.12
2.48,1736,15.09
2.57,2132,13.82
2.28,1245,16.14
1.08,1897,16.39
1.32,1037,19.88
1.09,983,20.03
2.91,1750,13.56
1.94,1765,16.59
2.53,1920,14.25
3.72,2062,11.96
1.75,2461,14.15
2.23,1726,16.39
3.27,1417,15.09
1.69,2172,14.99
1.23,1333,19.02
1.87,1602,16.78
1.48,1026,19.64
3.79,941,14.12
3.42,2440,11.17
2.9,2238,13.02
3.61,2014,10.85
3.41,1554,12.92
1.56,1177,17.33
3.68,1150,14.06
2.62,1300,16.22
3.42,1779,13.57
3.69,2043,11.53
1.95,1956,16.04
1.33,1348,17.61
1.68,2428,13.5
2.28,2081,14.17
3.45,1787,12.92
3.58,1879,12.18
1.02,1571,17.21
2.53,1296,16
2.25,1470,15.43
1.67,2113,15.66
1.36,923,19.7
2.01,1086,17.25
3.83,974,14.16
1.97,965,17.64
2.56,2269,13.05
3.11,2026,13.18
2.09,1659,15.35
3.92,1057,14.25
3.89,1687,11.9
1.76,1658,16.12
2.49,1177,16.43
1.9,1594,15.89
1.85,1538,16.4
1.11,1885,16.52
2.83,1916,14.58
2.51,972,17.08
1.15,1499,17.84
1.84,1901,15.73
3.72,1705,12.38
1.72,2270,14.64
1.43,1954,16.58
2.47,1161,16.96
3.96,1013,13.78
1.73,1928,15.48
3.02,942,16
3.28,1837,11.77
1.71,2404,13.6
3.18,1821,13.85
2.1,1521,17.05
2.9,1929,13.29
2.9,1633,14.59
2.61,1773,14.62
1.27,2406,16.78
3.51,1518,13.99
1.96,2438,13.7
1.56,2349,14.36
1.12,1213,18.31
2.77,1011,16.52
3.03,1061,15.37
1.05,929,19.4
2.54,1051,16.45
1.68,1993,15.12
2.94,1014,16.93
1.52,1410,18.16
3.07,2252,12.09
2.16,937,18.61
3.81,2203,10.81
1.41,1351,17.69
2.02,1089,18.45
1.34,2015,16.54
3.77,1906,11.21
3.63,2304,10.73
1.77,2076,14.79
2.98,2186,11.79
3.45,1351,14.51
2.67,1184,17.07
2.59,2101,12.82
1.73,2191,15.26
1.28,2485,14.66
3.69,1560,12.69
3.7,1495,12.82
2.9,2142,12.34
2.02,1445,16.65
2.05,2389,13.32
3.18,2273,11.96
3.69,1586,12.83
3.66,2101,11.25
3.34,2107,11.55
